XAUUSD_D1_2025-06-22_2026-04-15 | 208 bars | 2026-04-15 00:35 BJT
时间(BJT)|开|高|低|收
2025-06-23|3391.29|3394.68|3347.13|3369.24
2025-06-24|3368.31|3368.81|3295.41|3323.13
2025-06-25|3324.17|3336.99|3311.80|3332.18
2025-06-26|3334.67|3350.28|3309.55|3327.89
2025-06-27|3327.17|3327.57|3255.63|3274.65
2025-06-30|3280.46|3309.44|3246.35|3302.95
2025-07-01|3303.12|3358.05|3302.36|3339.02
2025-07-02|3337.59|3360.04|3327.57|3356.98
2025-07-03|3358.87|3365.77|3311.34|3326.11
2025-07-04|3326.22|3345.13|3323.61|3337.13
2025-07-07|3337.36|3342.68|3296.50|3336.32
2025-07-08|3339.55|3345.83|3286.69|3301.71
2025-07-09|3302.93|3316.88|3282.41|3313.66
2025-07-10|3314.02|3330.31|3310.23|3323.86
2025-07-11|3325.14|3368.73|3321.92|3357.32
2025-07-14|3362.93|3374.99|3341.10|3343.34
2025-07-15|3342.78|3366.37|3320.31|3324.96
2025-07-16|3324.02|3376.98|3319.40|3347.55
2025-07-17|3349.52|3352.23|3309.67|3339.07
2025-07-18|3339.57|3361.26|3331.75|3350.68
2025-07-21|3348.84|3401.57|3344.97|3397.16
2025-07-22|3398.33|3433.53|3383.37|3431.66
2025-07-23|3431.25|3438.98|3381.25|3387.22
2025-07-24|3389.65|3393.33|3351.00|3368.56
2025-07-25|3368.42|3373.55|3325.06|3336.63
2025-07-28|3329.34|3345.33|3301.35|3314.60
2025-07-29|3313.86|3334.13|3307.70|3326.62
2025-07-30|3326.82|3334.02|3267.95|3275.02
2025-07-31|3275.29|3314.87|3273.90|3290.03
2025-08-01|3289.89|3363.47|3281.43|3363.21
2025-08-04|3364.55|3385.45|3344.95|3373.69
2025-08-05|3374.31|3390.46|3349.86|3380.74
2025-08-06|3380.97|3385.38|3358.07|3369.30
2025-08-07|3370.56|3401.79|3365.23|3396.15
2025-08-08|3401.26|3407.86|3376.25|3397.02
2025-08-11|3403.61|3405.07|3341.03|3342.93
2025-08-12|3342.83|3358.96|3330.81|3348.20
2025-08-13|3349.76|3370.47|3342.51|3356.02
2025-08-14|3357.18|3374.82|3329.74|3335.38
2025-08-15|3337.02|3348.79|3332.36|3335.94
2025-08-18|3336.39|3358.45|3323.50|3332.88
2025-08-19|3333.86|3345.31|3314.84|3315.57
2025-08-20|3316.50|3350.21|3311.42|3348.16
2025-08-21|3350.09|3352.27|3325.16|3338.52
2025-08-22|3339.07|3378.85|3321.29|3371.95
2025-08-25|3371.25|3376.22|3359.51|3365.55
2025-08-26|3365.83|3393.67|3351.37|3393.62
2025-08-27|3394.10|3398.54|3373.51|3397.45
2025-08-28|3398.31|3423.15|3384.37|3416.90
2025-08-29|3416.67|3453.99|3404.16|3448.12
