XAUUSD_D1_last300 | 282 bars | 2026-04-17 03:03 BJT
时间(BJT)|开|高|低|收
2025-03-12|2915.62|2940.49|2905.92|2933.29
2025-03-13|2933.50|2989.19|2932.66|2988.76
2025-03-14|2988.26|3004.82|2978.27|2988.31
2025-03-17|2984.59|3001.89|2982.27|3000.85
2025-03-18|3001.38|3038.10|2999.39|3033.83
2025-03-19|3033.92|3051.69|3022.48|3047.16
2025-03-20|3048.55|3057.42|3025.77|3044.61
2025-03-21|3044.78|3047.51|2999.11|3023.03
2025-03-24|3023.82|3033.33|3002.45|3011.88
2025-03-25|3011.05|3035.96|3007.41|3019.81
2025-03-26|3019.47|3032.01|3012.00|3019.14
2025-03-27|3019.31|3059.62|3017.53|3056.72
2025-03-28|3055.90|3086.74|3054.15|3083.97
2025-03-31|3087.90|3127.71|3076.68|3123.99
2025-04-01|3124.73|3148.94|3100.78|3114.10
2025-04-02|3114.01|3141.91|3105.10|3130.97
2025-04-03|3131.52|3167.68|3054.05|3114.27
2025-04-04|3114.01|3136.22|3015.67|3036.77
2025-04-07|3028.80|3055.42|2956.46|2981.85
2025-04-08|2982.28|3022.70|2974.83|2982.02
2025-04-09|2983.85|3099.53|2970.10|3082.77
2025-04-10|3080.68|3176.43|3071.40|3175.38
2025-04-11|3176.87|3245.13|3175.95|3237.94
2025-04-14|3219.10|3245.67|3193.65|3210.64
2025-04-15|3211.92|3233.66|3209.77|3229.43
2025-04-16|3230.45|3342.85|3229.68|3342.79
2025-04-17|3343.17|3357.78|3283.79|3327.12
2025-04-21|3331.29|3430.39|3328.96|3424.13
2025-04-22|3423.85|3499.99|3366.71|3381.00
2025-04-23|3321.96|3386.56|3259.96|3288.35
2025-04-24|3290.74|3367.23|3290.74|3348.68
2025-04-25|3354.47|3370.97|3265.06|3316.31
2025-04-28|3329.58|3353.06|3267.98|3344.13
2025-04-29|3345.19|3348.61|3299.42|3316.93
2025-04-30|3315.82|3328.01|3266.58|3288.61
2025-05-01|3287.66|3290.04|3201.70|3237.61
2025-05-02|3240.73|3269.17|3222.64|3240.62
2025-05-05|3241.79|3337.52|3237.67|3333.56
2025-05-06|3335.68|3434.68|3323.20|3430.51
2025-05-07|3425.84|3430.24|3360.00|3364.26
2025-05-08|3366.96|3414.65|3288.76|3305.78
2025-05-09|3307.84|3347.48|3274.81|3325.42
2025-05-12|3287.71|3291.71|3207.71|3234.80
2025-05-13|3238.96|3265.43|3215.51|3250.13
2025-05-14|3252.02|3257.01|3167.67|3177.43
2025-05-15|3178.06|3240.62|3120.34|3239.87
2025-05-16|3239.29|3252.27|3154.11|3201.36
2025-05-19|3212.17|3249.79|3206.23|3230.18
2025-05-20|3228.87|3295.70|3204.57|3289.89
2025-05-21|3291.30|3324.89|3285.40|3315.10
2025-05-22|3319.25|3345.35|3279.18|3294.81
2025-05-23|3295.46|3365.88|3286.92|3360.07
2025-05-26|3352.87|3356.59|3323.56|3342.19
2025-05-27|3343.45|3349.87|3285.13|3300.51
2025-05-28|3301.67|3325.53|3276.55|3288.45
2025-05-29|3286.59|3330.96|3245.46|3317.65
2025-05-30|3319.51|3322.77|3271.18|3291.15
2025-06-02|3298.03|3382.95|3298.03|3381.68
2025-06-03|3383.66|3392.18|3333.18|3353.41
2025-06-04|3355.56|3384.58|3343.43|3372.32
2025-06-05|3373.13|3403.57|3339.27|3352.61
2025-06-06|3354.47|3375.49|3307.12|3311.93
2025-06-09|3315.33|3338.29|3293.22|3325.58
2025-06-10|3326.92|3349.11|3301.74|3322.53
2025-06-11|3321.42|3360.73|3315.56|3355.14
2025-06-12|3358.36|3398.88|3338.78|3386.95
2025-06-13|3386.13|3446.76|3379.71|3432.55
2025-06-16|3442.76|3451.34|3382.50|3385.38
2025-06-17|3386.40|3403.35|3366.28|3388.63
2025-06-18|3392.22|3400.01|3362.41|3369.42
2025-06-19|3370.71|3387.80|3347.34|3370.35
2025-06-20|3369.16|3374.49|3340.04|3368.99
2025-06-23|3391.29|3394.68|3347.13|3369.24
2025-06-24|3368.31|3368.81|3295.41|3323.13
2025-06-25|3324.17|3336.99|3311.80|3332.18
2025-06-26|3334.67|3350.28|3309.55|3327.89
2025-06-27|3327.17|3327.57|3255.63|3274.65
2025-06-30|3280.46|3309.44|3246.35|3302.95
2025-07-01|3303.12|3358.05|3302.36|3339.02
2025-07-02|3337.59|3360.04|3327.57|3356.98
2025-07-03|3358.87|3365.77|3311.34|3326.11
2025-07-04|3326.22|3345.13|3323.61|3337.13
2025-07-07|3337.36|3342.68|3296.50|3336.32
2025-07-08|3339.55|3345.83|3286.69|3301.71
2025-07-09|3302.93|3316.88|3282.41|3313.66
2025-07-10|3314.02|3330.31|3310.23|3323.86
2025-07-11|3325.14|3368.73|3321.92|3357.32
2025-07-14|3362.93|3374.99|3341.10|3343.34
2025-07-15|3342.78|3366.37|3320.31|3324.96
2025-07-16|3324.02|3376.98|3319.40|3347.55
2025-07-17|3349.52|3352.23|3309.67|3339.07
2025-07-18|3339.57|3361.26|3331.75|3350.68
