XAUUSD_H1_last500 | 500 bars | 2026-04-17 00:07 BJT
时间(BJT)|开|高|低|收
2026-03-17 07:00|5002.38|5015.68|5002.07|5012.79
2026-03-17 08:00|5012.76|5014.17|4998.15|5002.98
2026-03-17 09:00|5002.63|5028.05|4994.66|5027.66
2026-03-17 10:00|5027.83|5029.63|5020.08|5022.39
2026-03-17 11:00|5022.24|5033.51|5020.55|5027.63
2026-03-17 12:00|5027.38|5041.79|5026.17|5038.09
2026-03-17 13:00|5038.07|5044.27|5020.20|5020.72
2026-03-17 14:00|5020.82|5022.77|5005.09|5010.00
2026-03-17 15:00|5009.98|5028.03|5008.86|5021.13
2026-03-17 16:00|5021.16|5029.60|5018.37|5024.64
2026-03-17 17:00|5024.65|5025.89|5009.84|5010.43
2026-03-17 18:00|5009.79|5016.39|4991.76|5000.30
2026-03-17 19:00|5000.07|5011.33|4996.64|5003.38
2026-03-17 20:00|5003.31|5023.98|4999.23|5011.67
2026-03-17 21:00|5011.75|5031.58|5005.34|5016.79
2026-03-17 22:00|5016.70|5020.53|5002.86|5007.57
2026-03-17 23:00|5007.36|5017.65|4973.75|4997.76
2026-03-18 00:00|4998.28|5005.88|4991.46|5001.85
2026-03-18 01:00|5001.65|5008.54|4996.38|5002.51
2026-03-18 02:00|5002.50|5009.09|4999.66|5003.86
2026-03-18 03:00|5003.78|5005.68|4996.33|5000.22
2026-03-18 04:00|5000.33|5006.40|4999.87|5005.45
2026-03-18 06:00|5005.02|5005.64|4993.27|4999.94
2026-03-18 07:00|4999.69|5003.95|4998.76|5002.96
2026-03-18 08:00|5002.97|5012.55|5000.11|5004.17
2026-03-18 09:00|5004.11|5015.86|4991.18|4998.75
2026-03-18 10:00|4999.27|5006.98|4990.36|4991.80
2026-03-18 11:00|4991.74|4997.51|4986.27|4991.30
2026-03-18 12:00|4991.26|4993.54|4981.99|4986.89
2026-03-18 13:00|4986.90|5002.43|4984.67|4997.32
2026-03-18 14:00|4997.52|5016.20|4996.28|5009.36
2026-03-18 15:00|5009.34|5014.84|4990.52|4995.02
2026-03-18 16:00|4994.47|4996.99|4977.34|4987.67
2026-03-18 17:00|4987.69|4995.74|4984.81|4992.06
2026-03-18 18:00|4992.07|4992.28|4958.77|4967.79
2026-03-18 19:00|4967.80|4973.86|4924.81|4930.19
2026-03-18 20:00|4930.18|4932.37|4870.53|4881.65
2026-03-18 21:00|4881.56|4885.44|4834.25|4878.16
2026-03-18 22:00|4878.27|4894.64|4856.51|4869.69
2026-03-18 23:00|4869.87|4880.02|4861.13|4862.54
2026-03-19 00:00|4862.56|4890.41|4860.79|4886.76
2026-03-19 01:00|4886.68|4899.00|4883.83|4890.73
2026-03-19 02:00|4890.82|4899.31|4852.40|4853.05
2026-03-19 03:00|4853.00|4865.36|4838.89|4843.18
2026-03-19 04:00|4842.70|4848.64|4807.03|4818.83
2026-03-19 06:00|4829.45|4839.00|4804.25|4834.46
2026-03-19 07:00|4834.47|4842.58|4828.29|4836.78
2026-03-19 08:00|4836.75|4848.60|4835.31|4841.07
2026-03-19 09:00|4841.30|4867.02|4832.78|4850.05
2026-03-19 10:00|4850.06|4862.09|4841.52|4858.56
2026-03-19 11:00|4858.53|4866.11|4850.71|4850.74
2026-03-19 12:00|4850.73|4853.72|4845.69|4849.94
2026-03-19 13:00|4849.92|4853.96|4826.82|4827.62
2026-03-19 14:00|4827.63|4841.94|4747.84|4763.71
2026-03-19 15:00|4763.77|4784.25|4726.99|4727.94
2026-03-19 16:00|4727.97|4740.40|4686.82|4709.39
2026-03-19 17:00|4709.45|4725.98|4687.68|4698.89
2026-03-19 18:00|4698.73|4720.03|4666.44|4679.20
2026-03-19 19:00|4679.07|4699.65|4650.75|4652.76
