XAUUSD H4 | 1999 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
12-18 18:00|2646.86|2649.46|2641.12|2643.96
12-18 22:00|2643.97|2644.72|2633.05|2636.05
12-19 02:00|2636.07|2638.90|2583.60|2585.26
12-19 06:00|2583.64|2618.07|2582.57|2611.96
12-19 10:00|2611.93|2614.00|2606.17|2607.31
12-19 14:00|2607.29|2622.87|2603.13|2620.48
12-19 18:00|2620.43|2626.45|2595.20|2596.44
12-19 22:00|2596.41|2600.86|2586.83|2592.66
12-20 02:00|2592.71|2601.10|2591.87|2594.57
12-20 06:00|2594.77|2603.90|2589.71|2603.84
12-20 10:00|2603.78|2604.03|2595.31|2600.40
12-20 14:00|2600.36|2607.75|2598.87|2605.00
12-20 18:00|2604.92|2614.10|2600.01|2609.61
12-20 22:00|2609.62|2631.98|2608.66|2625.57
12-21 02:00|2625.55|2629.38|2619.32|2622.14
12-23 06:00|2620.02|2636.64|2617.23|2620.70
12-23 10:00|2620.68|2629.26|2620.55|2626.73
12-23 14:00|2626.81|2633.35|2624.54|2626.40
12-23 18:00|2626.31|2626.98|2613.05|2617.46
12-23 22:00|2617.25|2619.93|2608.10|2611.22
12-24 02:00|2611.16|2613.71|2609.06|2612.52
12-24 06:00|2611.64|2618.05|2611.64|2617.53
12-24 10:00|2617.43|2621.53|2615.63|2619.18
12-24 14:00|2619.19|2621.41|2613.32|2613.69
12-24 18:00|2613.68|2617.94|2611.24|2614.23
12-24 22:00|2614.23|2619.37|2610.04|2616.99
12-25 02:00|2617.05|2617.91|2614.80|2616.49
12-26 06:00|2615.63|2627.80|2614.13|2626.79
12-26 10:00|2626.79|2629.23|2625.63|2626.44
12-26 14:00|2626.40|2629.39|2623.52|2627.32
12-26 18:00|2627.34|2631.04|2621.76|2622.99
12-26 22:00|2622.97|2639.11|2622.45|2629.24
12-27 02:00|2629.20|2636.20|2629.20|2633.45
12-27 06:00|2632.68|2634.48|2630.66|2632.26
12-27 10:00|2632.28|2635.50|2628.85|2631.52
12-27 14:00|2631.50|2638.24|2623.51|2624.12
12-27 18:00|2624.12|2631.64|2617.94|2618.77
12-27 22:00|2618.55|2619.71|2611.71|2615.82
12-28 02:00|2615.92|2621.45|2612.78|2620.97
12-30 06:00|2619.80|2626.80|2619.38|2624.03
12-30 10:00|2624.06|2628.08|2620.49|2623.62
12-30 14:00|2623.58|2624.56|2609.35|2612.85
12-30 18:00|2612.69|2622.56|2606.39|2606.69
12-30 22:00|2606.64|2613.84|2596.07|2605.18
12-31 02:00|2605.24|2609.55|2603.39|2605.90
12-31 06:00|2606.02|2611.59|2603.72|2608.84
12-31 10:00|2608.83|2609.62|2602.48|2604.27
12-31 14:00|2604.20|2617.64|2603.41|2615.33
12-31 18:00|2615.50|2616.13|2605.38|2613.08
12-31 22:00|2613.08|2627.60|2611.19|2624.37
01-01 02:00|2624.25|2627.19|2622.59|2623.80
01-02 06:00|2624.91|2634.45|2621.58|2632.84
01-02 10:00|2632.84|2636.54|2631.13|2634.07
01-02 14:00|2634.13|2639.94|2631.04|2636.00
01-02 18:00|2635.99|2647.30|2632.72|2642.99
01-02 22:00|2642.98|2660.51|2640.16|2656.61
01-03 02:00|2656.69|2660.48|2653.81|2657.96
01-03 06:00|2657.53|2662.58|2656.73|2659.45
01-03 10:00|2659.39|2665.12|2655.76|2658.67
01-03 14:00|2658.68|2660.35|2649.82|2653.64
01-03 18:00|2653.65|2659.36|2643.22|2649.97
01-03 22:00|2649.97|2652.68|2639.02|2641.69
01-04 02:00|2641.65|2643.01|2636.65|2639.44
01-06 06:00|2641.41|2647.45|2638.55|2641.44
01-06 10:00|2641.36|2645.33|2631.65|2633.79
01-06 14:00|2633.81|2635.78|2625.13|2632.74
01-06 18:00|2632.70|2649.40|2622.02|2624.26
01-06 22:00|2624.27|2641.20|2614.28|2636.76
01-07 02:00|2636.79|2638.64|2632.91|2635.93
01-07 06:00|2636.04|2641.18|2632.87|2639.07
01-07 10:00|2639.04|2645.82|2636.88|2644.51
01-07 14:00|2644.39|2646.82|2637.78|2641.45
01-07 18:00|2641.46|2664.26|2641.40|2662.39
01-07 22:00|2662.46|2663.06|2642.07|2652.53
01-08 02:00|2652.56|2652.67|2647.02|2648.49
01-08 06:00|2648.51|2651.60|2647.10|2648.79
01-08 10:00|2648.80|2650.75|2645.28|2650.04
01-08 14:00|2650.00|2655.08|2648.95|2653.56
01-08 18:00|2653.56|2660.28|2645.80|2660.06
01-08 22:00|2660.06|2669.96|2649.47|2655.68
01-09 02:00|2655.70|2664.14|2651.69|2661.53
01-09 06:00|2661.56|2663.18|2657.20|2658.56
01-09 10:00|2658.54|2662.25|2655.34|2658.37
01-09 14:00|2658.35|2666.99|2658.27|2664.90
01-09 18:00|2664.84|2678.15|2664.38|2672.70
01-09 22:00|2672.61|2675.69|2662.56|2665.98
01-10 02:00|2665.93|2672.51|2664.99|2670.23
01-10 06:00|2670.98|2672.00|2668.50|2671.02
01-10 10:00|2671.01|2675.99|2670.41|2675.04
01-10 14:00|2674.96|2682.16|2673.52|2678.62
01-10 18:00|2678.78|2683.64|2663.98|2682.70
01-10 22:00|2682.60|2697.90|2680.72|2696.10
01-11 02:00|2696.11|2697.23|2684.32|2689.04
01-13 06:00|2688.79|2693.35|2679.25|2685.63
01-13 10:00|2685.68|2690.82|2683.34|2687.00
01-13 14:00|2687.08|2691.18|2683.04|2684.76
01-13 18:00|2684.72|2684.91|2663.61|2669.18
01-13 22:00|2669.11|2674.19|2659.22|2660.78
01-14 02:00|2660.78|2664.15|2656.71|2662.90
01-14 06:00|2663.22|2672.21|2663.22|2670.64
01-14 10:00|2670.71|2675.31|2667.31|2668.65
01-14 14:00|2668.66|2674.50|2664.74|2667.20
01-14 18:00|2667.21|2674.31|2660.62|2662.99
01-14 22:00|2662.99|2674.02|2659.81|2669.11
01-15 02:00|2668.98|2678.18|2666.60|2677.15
01-15 06:00|2677.93|2678.25|2669.69|2669.91
01-15 10:00|2669.90|2679.34|2669.26|2679.29
01-15 14:00|2679.18|2688.46|2678.98|2685.91
01-15 18:00|2685.90|2694.15|2682.06|2693.74
01-15 22:00|2693.68|2695.98|2676.46|2692.78
01-16 02:00|2692.77|2697.32|2691.00|2696.18
01-16 06:00|2694.43|2702.15|2692.74|2696.18
01-16 10:00|2696.31|2698.36|2693.67|2694.66
01-16 14:00|2694.81|2706.15|2689.80|2705.28
01-16 18:00|2705.29|2718.18|2700.23|2715.34
01-16 22:00|2715.31|2724.81|2712.44|2721.64
01-17 02:00|2721.71|2723.19|2712.43|2714.34
01-17 06:00|2714.05|2716.10|2709.74|2714.75
01-17 10:00|2714.88|2717.40|2711.09|2711.45
01-17 14:00|2711.46|2714.63|2704.02|2704.96
01-17 18:00|2705.00|2712.08|2702.59|2705.12
01-17 22:00|2705.10|2717.34|2702.68|2712.57
01-18 02:00|2712.63|2713.34|2699.20|2702.37
01-20 06:00|2702.37|2703.46|2689.36|2693.92
01-20 10:00|2693.94|2707.53|2693.62|2707.34
01-20 14:00|2707.36|2713.60|2702.71|2706.03
01-20 18:00|2706.04|2712.44|2701.59|2704.89
01-20 22:00|2705.41|2712.19|2703.02|2707.45
01-21 02:00|2707.61|2711.01|2705.58|2706.20
01-21 06:00|2706.81|2719.37|2702.88|2718.02
01-21 10:00|2717.97|2729.11|2717.62|2726.21
01-21 14:00|2726.24|2732.78|2718.05|2721.32
01-21 18:00|2721.37|2730.11|2716.26|2726.37
01-21 22:00|2726.33|2745.72|2725.25|2740.28
01-22 02:00|2740.27|2745.90|2739.82|2744.66
01-22 06:00|2744.80|2749.89|2741.89|2748.04
01-22 10:00|2748.04|2758.59|2746.21|2757.94
01-22 14:00|2757.97|2762.34|2745.31|2758.42
01-22 18:00|2758.37|2763.41|2750.82|2757.59
01-22 22:00|2757.66|2760.32|2750.43|2756.46
01-23 02:00|2756.46|2759.38|2754.64|2756.04
01-23 06:00|2755.70|2756.54|2750.72|2752.66
01-23 10:00|2752.61|2754.82|2749.46|2751.90
01-23 14:00|2751.96|2755.48|2740.93|2745.89
01-23 18:00|2745.83|2754.42|2735.72|2741.57
01-23 22:00|2741.65|2758.87|2740.33|2757.75
01-24 02:00|2757.76|2758.27|2751.43|2754.48
01-24 06:00|2754.80|2762.58|2753.43|2762.23
01-24 10:00|2762.22|2777.39|2762.17|2775.32
01-24 14:00|2775.30|2778.28|2769.83|2772.84
01-24 18:00|2772.82|2784.61|2771.50|2782.48
01-24 22:00|2782.43|2786.00|2770.01|2773.27
01-25 02:00|2773.28|2775.39|2770.52|2771.60
01-27 06:00|2767.59|2772.62|2762.77|2763.04
01-27 10:00|2763.04|2763.73|2752.80|2753.31
01-27 14:00|2753.24|2765.00|2747.32|2763.34
01-27 18:00|2763.34|2772.03|2752.10|2757.30
01-27 22:00|2757.12|2757.95|2730.31|2733.70
01-28 02:00|2733.68|2743.93|2733.13|2740.62
01-28 06:00|2740.74|2745.28|2739.30|2741.37
01-28 10:00|2741.54|2744.75|2737.78|2741.69
01-28 14:00|2741.52|2745.08|2734.70|2743.44
01-28 18:00|2743.45|2749.56|2741.02|2748.81
01-28 22:00|2748.83|2760.09|2748.83|2759.74
01-29 02:00|2759.74|2764.98|2759.39|2763.26
01-29 06:00|2762.93|2766.22|2762.05|2763.84
01-29 10:00|2763.80|2765.69|2760.22|2760.58
01-29 14:00|2760.71|2765.95|2757.27|2762.67
01-29 18:00|2762.61|2763.28|2752.04|2758.63
01-29 22:00|2758.59|2761.15|2748.20|2752.79
01-30 02:00|2752.87|2759.79|2744.83|2759.72
01-30 06:00|2759.22|2762.67|2757.91|2760.09
01-30 10:00|2760.06|2763.38|2758.80|2760.62
01-30 14:00|2760.59|2776.50|2760.19|2774.26
01-30 18:00|2774.24|2786.01|2773.82|2785.68
