XAUUSD M5 | 1999 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
03-26 20:10|4439.59|4445.85|4438.23|4441.99
03-26 20:15|4442.04|4445.48|4434.21|4436.50
03-26 20:20|4435.93|4441.49|4433.53|4438.29
03-26 20:25|4437.82|4443.24|4435.24|4437.83
03-26 20:30|4437.33|4444.41|4431.96|4435.82
03-26 20:35|4435.78|4444.28|4433.16|4444.28
03-26 20:40|4444.55|4444.92|4435.41|4435.61
03-26 20:45|4435.56|4443.12|4432.25|4435.19
03-26 20:50|4434.73|4438.26|4432.16|4432.75
03-26 20:55|4432.88|4434.44|4428.25|4429.66
03-26 21:00|4429.09|4439.41|4420.51|4437.74
03-26 21:05|4437.94|4441.73|4435.44|4439.91
03-26 21:10|4439.62|4445.54|4437.77|4438.36
03-26 21:15|4438.61|4442.44|4434.62|4440.60
03-26 21:20|4440.58|4453.60|4439.91|4450.31
03-26 21:25|4450.62|4452.15|4443.77|4448.16
03-26 21:30|4447.27|4451.39|4434.92|4442.77
03-26 21:35|4442.17|4447.00|4434.26|4434.62
03-26 21:40|4434.65|4453.45|4429.14|4453.45
03-26 21:45|4453.54|4460.49|4450.13|4452.42
03-26 21:50|4452.47|4460.00|4448.70|4456.22
03-26 21:55|4456.55|4457.18|4436.76|4452.65
03-26 22:00|4452.69|4456.25|4445.94|4450.04
03-26 22:05|4449.99|4450.36|4442.87|4447.23
03-26 22:10|4447.12|4449.24|4437.36|4446.66
03-26 22:15|4446.67|4460.43|4444.37|4455.34
03-26 22:20|4454.84|4470.23|4452.20|4459.17
03-26 22:25|4458.67|4465.78|4451.14|4459.13
03-26 22:30|4458.68|4475.37|4458.16|4474.89
03-26 22:35|4474.95|4478.87|4463.51|4468.65
03-26 22:40|4468.18|4479.38|4458.76|4460.46
03-26 22:45|4460.18|4469.53|4456.86|4461.84
03-26 22:50|4461.64|4468.41|4449.35|4449.50
03-26 22:55|4448.85|4467.61|4445.90|4464.95
03-26 23:00|4465.21|4469.02|4458.30|4459.92
03-26 23:05|4459.80|4463.83|4451.11|4454.61
03-26 23:10|4454.66|4461.24|4454.27|4455.33
03-26 23:15|4455.48|4458.57|4448.78|4455.72
03-26 23:20|4455.64|4457.91|4449.38|4453.77
03-26 23:25|4453.82|4458.53|4450.76|4454.55
03-26 23:30|4454.66|4454.66|4438.26|4442.55
03-26 23:35|4442.72|4446.08|4436.52|4440.27
03-26 23:40|4440.18|4444.19|4437.88|4440.31
03-26 23:45|4439.96|4446.73|4439.23|4443.40
03-26 23:50|4443.34|4446.65|4442.45|4445.65
03-26 23:55|4445.69|4445.69|4433.99|4438.40
03-27 00:00|4438.06|4438.76|4425.84|4437.01
03-27 00:05|4436.71|4442.29|4434.53|4439.71
03-27 00:10|4439.47|4442.78|4434.60|4439.84
03-27 00:15|4439.74|4439.75|4421.29|4426.46
03-27 00:20|4426.52|4428.47|4390.19|4400.97
03-27 00:25|4400.98|4401.09|4387.22|4396.56
03-27 00:30|4396.02|4396.02|4376.13|4392.80
03-27 00:35|4392.76|4393.23|4367.30|4375.90
03-27 00:40|4375.67|4387.57|4373.97|4381.25
03-27 00:45|4381.51|4390.30|4379.00|4385.70
03-27 00:50|4385.71|4390.30|4380.63|4389.17
03-27 00:55|4388.45|4392.23|4387.02|4389.35
03-27 01:00|4388.95|4397.15|4385.21|4391.08
03-27 01:05|4391.14|4402.41|4390.72|4398.44
03-27 01:10|4398.38|4399.21|4389.10|4394.74
03-27 01:15|4395.22|4396.96|4386.04|4396.01
03-27 01:20|4395.93|4397.40|4384.11|4386.54
03-27 01:25|4386.02|4386.02|4377.19|4383.20
03-27 01:30|4384.10|4388.35|4377.72|4386.21
03-27 01:35|4386.26|4392.89|4383.56|4388.20
03-27 01:40|4388.19|4388.19|4380.81|4385.84
03-27 01:45|4385.76|4390.91|4383.37|4385.76
03-27 01:50|4385.80|4388.50|4381.57|4384.15
03-27 01:55|4384.11|4385.97|4379.28|4381.49
03-27 02:00|4381.50|4386.69|4380.11|4381.18
03-27 02:05|4381.22|4390.51|4380.40|4386.87
03-27 02:10|4386.88|4389.56|4381.27|4388.19
03-27 02:15|4388.16|4388.27|4378.91|4381.83
03-27 02:20|4381.84|4381.91|4367.92|4376.59
03-27 02:25|4376.55|4378.22|4369.65|4374.32
03-27 02:30|4374.37|4382.97|4373.35|4381.96
03-27 02:35|4381.79|4389.81|4380.54|4389.75
03-27 02:40|4389.74|4395.69|4389.52|4393.14
03-27 02:45|4392.86|4397.96|4390.57|4395.21
03-27 02:50|4395.18|4397.75|4393.12|4394.23
03-27 02:55|4394.26|4396.52|4391.66|4394.44
03-27 03:00|4394.51|4399.30|4389.92|4390.27
03-27 03:05|4390.20|4393.83|4384.95|4385.82
03-27 03:10|4385.90|4388.73|4381.98|4387.85
03-27 03:15|4387.84|4391.99|4386.61|4390.29
03-27 03:20|4390.28|4392.34|4388.14|4389.10
03-27 03:25|4389.09|4390.41|4378.36|4380.53
03-27 03:30|4380.76|4384.62|4375.04|4381.61
03-27 03:35|4381.56|4388.27|4379.82|4383.23
03-27 03:40|4383.02|4384.70|4378.30|4378.93
03-27 03:45|4378.75|4380.16|4373.17|4375.95
03-27 03:50|4375.93|4375.93|4363.58|4364.29
03-27 03:55|4364.67|4367.20|4359.00|4364.17
03-27 04:00|4364.01|4364.88|4353.15|4353.48
03-27 04:05|4353.52|4357.59|4351.07|4355.71
03-27 04:10|4355.67|4413.39|4354.60|4397.07
03-27 04:15|4397.23|4404.10|4380.26|4396.57
03-27 04:20|4396.58|4415.93|4391.36|4399.91
03-27 04:25|4399.90|4406.04|4394.25|4404.46
03-27 04:30|4404.54|4408.97|4399.86|4401.36
03-27 04:35|4401.09|4420.60|4397.69|4420.26
03-27 04:40|4420.14|4420.14|4405.22|4405.90
03-27 04:45|4405.93|4409.79|4397.75|4401.86
03-27 04:50|4401.92|4403.85|4372.67|4375.46
03-27 04:55|4375.57|4381.55|4373.22|4378.37
03-27 06:00|4384.07|4388.46|4379.50|4387.03
03-27 06:05|4387.01|4401.43|4386.70|4394.77
03-27 06:10|4394.79|4404.35|4391.97|4400.84
03-27 06:15|4400.40|4407.96|4400.34|4406.55
03-27 06:20|4406.63|4406.73|4398.55|4401.20
03-27 06:25|4400.67|4401.02|4394.50|4398.02
03-27 06:30|4398.24|4410.84|4395.12|4406.16
03-27 06:35|4406.23|4410.45|4405.17|4409.12
03-27 06:40|4409.02|4415.32|4406.99|4407.00
03-27 06:45|4406.25|4408.41|4399.89|4408.07
03-27 06:50|4408.04|4412.42|4406.49|4406.60
03-27 06:55|4406.52|4413.09|4404.12|4411.03
03-27 07:00|4411.38|4414.50|4401.99|4402.26
03-27 07:05|4402.20|4403.34|4391.13|4392.00
03-27 07:10|4391.77|4397.03|4389.93|4393.21
03-27 07:15|4392.65|4401.05|4391.29|4401.05
03-27 07:20|4400.87|4400.87|4393.49|4397.12
03-27 07:25|4397.03|4399.43|4393.92|4399.42
03-27 07:30|4399.43|4402.77|4396.01|4399.63
03-27 07:35|4399.80|4408.09|4399.70|4405.60
03-27 07:40|4405.59|4406.38|4396.67|4400.03
03-27 07:45|4400.03|4403.31|4396.43|4397.25
03-27 07:50|4397.49|4405.77|4397.14|4405.08
03-27 07:55|4405.17|4405.80|4402.39|4404.92
03-27 08:00|4404.93|4410.92|4404.89|4408.75
03-27 08:05|4408.76|4409.58|4404.03|4408.50
03-27 08:10|4408.59|4408.86|4403.17|4404.16
03-27 08:15|4404.08|4404.77|4396.03|4397.20
03-27 08:20|4397.19|4397.59|4382.50|4389.66
03-27 08:25|4389.88|4392.06|4385.92|4391.04
03-27 08:30|4391.53|4396.41|4391.15|4395.34
03-27 08:35|4395.30|4395.30|4387.09|4390.05
03-27 08:40|4390.06|4391.82|4387.60|4390.88
03-27 08:45|4390.84|4390.95|4384.15|4384.36
03-27 08:50|4384.58|4385.27|4378.49|4381.99
03-27 08:55|4381.70|4383.61|4375.35|4378.54
03-27 09:00|4378.78|4389.43|4377.50|4388.44
03-27 09:05|4388.47|4393.19|4387.52|4392.46
03-27 09:10|4392.47|4399.22|4391.56|4393.84
03-27 09:15|4393.85|4398.90|4391.19|4391.20
03-27 09:20|4391.15|4402.69|4391.04|4401.92
03-27 09:25|4401.95|4406.65|4398.67|4406.34
03-27 09:30|4406.28|4417.65|4403.57|4411.56
03-27 09:35|4411.57|4417.04|4409.90|4417.01
03-27 09:40|4417.09|4420.37|4416.47|4419.31
03-27 09:45|4419.59|4419.59|4411.78|4412.92
03-27 09:50|4412.61|4415.57|4411.92|4414.46
03-27 09:55|4414.38|4420.38|4413.53|4417.46
03-27 10:00|4417.76|4434.06|4417.11|4430.64
03-27 10:05|4430.39|4437.56|4425.49|4435.64
03-27 10:10|4435.66|4439.66|4430.82|4434.94
03-27 10:15|4434.95|4436.32|4428.76|4429.67
03-27 10:20|4429.68|4431.79|4426.06|4428.94
03-27 10:25|4429.17|4434.65|4426.95|4430.95
03-27 10:30|4431.06|4434.19|4424.70|4431.91
03-27 10:35|4431.90|4433.48|4426.21|4429.81
03-27 10:40|4429.79|4432.11|4426.35|4429.67
03-27 10:45|4429.64|4440.37|4427.91|4430.18
03-27 10:50|4430.12|4435.05|4429.29|4430.91
03-27 10:55|4430.95|4432.25|4429.46|4431.89
03-27 11:00|4431.74|4435.72|4425.75|4425.95
03-27 11:05|4425.96|4429.95|4421.27|4424.56
03-27 11:10|4424.84|4431.41|4422.41|4429.38
03-27 11:15|4429.70|4431.29|4428.11|4429.89
03-27 11:20|4429.89|4434.35|4429.30|4430.28
03-27 11:25|4430.50|4436.89|4428.21|4435.11
03-27 11:30|4434.84|4438.35|4430.84|4434.05
03-27 11:35|4434.03|4444.37|4433.22|4444.37
03-27 11:40|4444.27|4446.31|4435.91|4435.91
03-27 11:45|4435.90|4436.36|4433.07|4434.71
03-27 11:50|4434.59|4438.67|4432.64|4437.61
03-27 11:55|4437.62|4437.92|4436.16|4437.40
03-27 12:00|4437.59|4439.78|4435.42|4437.26
03-27 12:05|4437.12|4437.45|4432.44|4434.04
03-27 12:10|4434.05|4436.37|4433.65|4433.65
03-27 12:15|4433.90|4434.34|4431.32|4433.24
03-27 12:20|4433.00|4437.26|4432.94|4435.73
03-27 12:25|4435.60|4436.20|4432.90|4434.28
03-27 12:30|4434.02|4440.38|4433.93|4439.90
03-27 12:35|4439.66|4442.14|4437.05|4440.07
03-27 12:40|4439.83|4441.66|4438.75|4441.58
