XAUUSD W1 | 938 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
1998-04-20|310.30|315.20|310.00|312.90
1998-04-27|312.25|313.65|301.10|302.50
1998-05-04|302.45|306.00|296.60|300.10
1998-05-11|299.55|303.90|295.10|301.50
1998-05-18|301.00|302.20|297.00|300.10
1998-05-25|298.85|300.10|290.40|293.20
1998-06-01|292.75|294.65|286.75|291.90
1998-06-08|290.95|299.30|284.50|286.25
1998-06-15|285.25|300.50|283.70|299.00
1998-06-22|299.29|299.80|291.90|294.10
1998-06-29|292.90|298.70|291.90|295.10
1998-07-06|293.85|296.15|289.50|291.10
1998-07-13|289.60|295.70|288.00|294.75
1998-07-20|293.45|296.10|290.20|291.70
1998-07-27|291.10|292.40|285.70|286.70
1998-08-03|286.20|290.35|282.50|286.90
1998-08-10|286.10|287.70|282.00|284.30
1998-08-17|284.20|287.30|282.20|285.05
1998-08-24|283.90|285.55|270.75|274.60
1998-08-31|273.90|287.70|273.80|287.10
1998-09-07|286.50|297.30|282.90|294.00
1998-09-14|292.45|293.60|286.35|291.70
1998-09-21|290.40|300.30|287.05|294.40
1998-09-28|293.15|303.80|291.60|300.80
1998-10-05|300.10|305.20|293.80|297.00
1998-10-12|296.75|301.30|294.40|300.20
1998-10-19|299.80|300.30|291.20|293.10
1998-10-26|291.85|295.00|290.60|292.80
1998-11-02|292.60|295.10|287.60|293.40
1998-11-09|292.40|298.00|289.50|296.20
1998-11-16|295.50|298.65|293.25|296.40
1998-11-23|295.90|297.70|294.90|296.55
1998-11-30|295.80|296.80|291.20|292.70
1998-12-07|291.80|297.60|289.30|291.10
1998-12-14|291.45|296.70|288.40|289.30
1998-12-21|289.50|291.10|285.00|286.50
1998-12-28|285.60|289.00|285.50|288.50
1999-01-04|288.30|292.60|285.90|291.60
1999-01-11|290.90|293.75|284.40|286.70
1999-01-18|285.90|289.00|285.05|286.60
1999-01-25|286.20|288.70|281.40|286.40
1999-02-01|286.40|290.70|286.00|288.80
1999-02-08|288.40|290.80|286.20|289.80
1999-02-15|289.15|290.95|284.20|288.60
1999-02-22|287.60|288.90|285.10|287.30
1999-03-01|286.50|289.60|285.10|288.20
1999-03-08|287.80|294.65|287.70|292.10
1999-03-15|291.90|292.45|281.40|284.50
1999-03-22|283.70|285.80|278.70|280.00
1999-03-29|279.85|281.45|278.10|280.70
1999-04-05|279.60|282.50|277.00|281.80
1999-04-12|281.65|285.40|280.50|284.50
1999-04-19|283.30|285.65|282.35|283.80
1999-04-26|283.15|288.10|280.05|286.80
1999-05-03|286.20|290.20|279.05|283.00
1999-05-10|282.10|282.60|275.10|276.20
1999-05-17|275.50|277.15|271.85|273.20
1999-05-24|271.75|273.80|267.40|270.50
1999-05-31|269.90|271.65|263.25|265.50
1999-06-07|264.40|267.90|256.90|260.90
1999-06-14|259.00|263.65|257.75|259.80
1999-06-21|258.80|261.90|257.70|259.70
1999-06-28|259.35|263.90|258.80|263.00
1999-07-05|262.80|263.75|255.25|257.40
1999-07-12|256.50|257.55|252.45|254.10
1999-07-19|253.75|257.40|252.05|255.00
1999-07-26|255.40|257.50|252.60|256.20
1999-08-02|255.65|258.85|253.60|255.70
1999-08-09|255.70|261.95|255.15|260.90
1999-08-16|260.10|262.50|257.10|257.60
1999-08-23|256.85|258.15|251.70|254.00
1999-08-30|253.25|256.70|253.05|254.50
1999-09-06|254.00|257.85|253.95|256.80
1999-09-13|256.25|258.20|254.50|255.00
1999-09-20|254.50|271.75|254.15|269.00
1999-09-27|268.50|327.80|268.50|310.30
1999-10-04|307.00|342.00|307.00|322.20
1999-10-11|319.00|326.60|310.50|316.40
1999-10-18|313.38|320.00|300.10|303.90
1999-10-25|301.30|304.00|285.75|300.20
1999-11-01|294.50|299.00|286.00|291.60
1999-11-08|286.75|299.75|286.40|291.80
1999-11-15|290.75|297.38|288.60|295.50
1999-11-22|293.85|300.40|293.40|297.62
1999-11-29|296.20|298.65|278.88|280.30
1999-12-06|278.40|286.50|274.00|279.20
1999-12-13|278.40|286.38|278.00|284.30
1999-12-20|283.30|291.00|281.88|287.75
1999-12-27|287.12|292.20|286.50|289.00
2000-01-03|287.50|291.50|278.70|282.00
2000-01-10|281.15|285.68|280.25|284.60
2000-01-17|283.80|290.25|282.40|289.50
2000-01-24|287.00|291.50|280.30|282.75
2000-01-31|281.60|315.80|281.50|310.80
2000-02-07|313.00|327.00|294.80|311.15
2000-02-14|310.35|316.75|297.00|305.75
2000-02-21|303.40|307.50|291.10|294.50
2000-02-28|291.25|295.35|286.88|289.00
2000-03-06|288.00|294.70|287.00|289.50
2000-03-13|290.00|292.65|282.40|285.10
2000-03-20|282.80|292.15|282.35|285.50
2000-03-27|284.50|285.85|274.00|279.40
2000-04-03|278.50|289.25|275.30|280.70
2000-04-10|280.10|287.00|278.55|283.10
2000-04-17|284.25|285.80|278.30|280.50
2000-04-24|279.50|281.40|272.60|273.60
2000-05-01|275.00|283.30|272.10|279.20
2000-05-08|278.70|281.20|275.00|276.40
2000-05-15|276.20|278.00|271.50|274.50
2000-05-22|273.85|277.65|268.70|272.80
2000-05-29|272.20|283.20|271.00|281.40
2000-06-05|280.80|291.65|277.60|284.35
2000-06-12|282.75|294.62|282.65|289.50
2000-06-19|288.90|290.90|282.20|283.40
2000-06-26|282.90|293.60|281.55|289.30
2000-07-03|288.60|290.60|281.60|284.00
2000-07-10|283.40|285.90|279.00|281.30
2000-07-17|280.20|284.65|277.05|280.60
2000-07-24|280.25|282.15|277.30|278.90
2000-07-31|278.00|279.60|271.70|273.50
2000-08-07|272.50|276.05|270.80|275.40
2000-08-14|274.50|279.40|272.60|277.15
