XAUUSD_W1_2010-01-01_2026-04-08 | 328 bars | 2026-04-08 01:54 BJT
时间(BJT)|开|高|低|收
2009-12-28|1107.70|1113.40|1085.99|1098.30
2019-12-30|1511.56|1553.49|1510.79|1551.51
2020-01-06|1560.08|1611.39|1540.26|1561.91
2020-01-13|1562.00|1562.00|1535.94|1556.96
2020-01-20|1557.13|1575.83|1546.34|1570.95
2020-01-27|1580.72|1590.47|1563.39|1588.96
2020-02-03|1593.24|1593.34|1547.52|1570.11
2020-02-10|1572.07|1584.99|1561.99|1583.83
2020-02-17|1582.22|1649.25|1578.88|1643.80
2020-02-24|1653.37|1689.34|1562.95|1584.77
2020-03-02|1591.60|1692.07|1575.39|1674.30
2020-03-09|1698.06|1703.30|1504.53|1529.69
2020-03-16|1563.99|1575.26|1451.19|1498.56
2020-03-23|1502.61|1644.60|1482.36|1618.15
2020-03-30|1616.38|1633.08|1568.07|1615.59
2020-04-06|1615.01|1690.20|1608.74|1681.97
2020-04-13|1685.51|1747.10|1671.67|1681.43
2020-04-20|1682.51|1738.65|1659.60|1726.48
2020-04-27|1726.05|1727.24|1670.30|1699.48
2020-05-04|1697.64|1723.24|1681.44|1701.70
2020-05-11|1701.06|1751.28|1692.11|1742.52
2020-05-18|1743.85|1765.18|1717.12|1735.45
2020-05-25|1732.00|1737.55|1693.67|1730.36
2020-06-01|1735.02|1745.17|1670.69|1684.38
2020-06-08|1683.26|1744.64|1683.21|1730.37
2020-06-15|1728.22|1745.16|1704.25|1742.26
2020-06-22|1752.99|1779.18|1742.78|1769.59
2020-06-29|1775.39|1789.05|1757.41|1774.88
2020-07-06|1773.39|1817.94|1769.97|1798.43
2020-07-13|1797.26|1815.01|1790.63|1809.57
2020-07-20|1808.53|1906.51|1805.68|1901.56
2020-07-27|1901.35|1983.26|1899.59|1974.84
2020-08-03|1978.45|2075.07|1960.49|2033.74
2020-08-10|2033.74|2049.88|1862.58|1943.57
2020-08-17|1946.50|2015.45|1911.46|1938.96
2020-08-24|1940.15|1976.66|1902.76|1964.30
2020-08-31|1965.46|1992.40|1916.40|1933.04
2020-09-07|1929.83|1966.53|1906.43|1940.28
2020-09-14|1940.41|1973.46|1932.84|1950.46
2020-09-21|1949.44|1955.59|1848.72|1860.05
2020-09-28|1859.00|1917.05|1849.05|1900.56
2020-10-05|1904.80|1930.45|1872.85|1929.84
2020-10-12|1928.73|1933.17|1882.49|1898.71
2020-10-19|1899.66|1931.37|1894.28|1901.47
2020-10-26|1902.62|1911.34|1859.94|1878.32
2020-11-02|1877.00|1960.35|1873.43|1951.83
2020-11-09|1954.97|1965.48|1850.52|1889.29
2020-11-16|1889.86|1899.09|1852.72|1870.93
2020-11-23|1870.60|1876.11|1774.32|1786.82
2020-11-30|1786.12|1848.16|1764.40|1838.56
2020-12-07|1836.85|1875.27|1822.11|1839.77
2020-12-14|1840.69|1896.22|1819.20|1880.61
2020-12-21|1885.55|1906.72|1855.07|1878.59
2020-12-28|1882.38|1900.96|1869.10|1898.26
2021-01-04|1903.24|1959.30|1828.28|1849.04
2021-01-11|1848.09|1863.69|1817.08|1827.65
2021-01-18|1828.30|1875.10|1801.31|1854.68
2021-01-25|1854.01|1875.63|1831.31|1847.40
2021-02-01|1863.14|1871.76|1785.06|1813.36
2021-02-08|1816.59|1855.37|1807.79|1824.12
2021-02-15|1824.67|1827.02|1760.64|1783.05
2021-02-22|1782.19|1816.02|1717.26|1733.89
2021-03-01|1733.46|1759.94|1687.38|1700.75
2021-03-08|1702.51|1739.88|1676.83|1726.87
2021-03-15|1726.41|1755.52|1719.21|1745.09
2021-03-22|1745.55|1746.88|1721.62|1732.69
2021-03-29|1731.23|1733.08|1677.88|1729.83
2021-04-05|1728.34|1758.67|1721.57|1743.46
2021-04-12|1743.35|1783.88|1723.72|1776.75
2021-04-19|1776.34|1797.85|1763.66|1776.39
2021-04-26|1775.59|1789.95|1756.14|1768.89
2021-05-03|1768.42|1843.28|1766.04|1830.80
2021-05-10|1832.70|1846.05|1808.79|1842.51
2021-05-17|1842.38|1889.99|1840.59|1881.67
2021-05-24|1881.29|1912.73|1872.69|1903.13
2021-05-31|1902.31|1916.57|1855.95|1891.48
2021-06-07|1889.91|1903.71|1869.96|1876.08
2021-06-14|1876.46|1877.69|1760.94|1764.27
2021-06-21|1767.92|1794.95|1766.49|1780.84
2021-06-28|1781.31|1795.05|1750.66|1787.52
2021-07-05|1787.50|1818.39|1784.46|1807.84
2021-07-12|1807.53|1834.17|1791.61|1811.30
2021-07-19|1811.29|1825.05|1789.60|1801.89
2021-07-26|1802.15|1832.70|1792.51|1814.28
2021-08-02|1813.42|1831.72|1758.73|1763.15
2021-08-09|1762.54|1779.87|1678.93|1779.65
2021-08-16|1779.74|1795.56|1770.82|1780.94
2021-08-23|1780.49|1819.28|1776.45|1817.72
2021-08-30|1818.28|1833.99|1801.67|1827.48
2021-09-06|1828.04|1828.54|1782.33|1787.71
2021-09-13|1788.28|1808.67|1745.32|1753.83
2021-09-20|1752.93|1787.28|1737.87|1749.71
2021-09-27|1747.95|1764.30|1721.61|1760.10
2021-10-04|1760.38|1781.38|1745.93|1757.07
2021-10-11|1756.83|1800.58|1750.16|1767.31
2021-10-18|1766.46|1813.82|1760.26|1792.57
2021-10-25|1792.59|1810.45|1771.94|1782.83
2021-11-01|1782.23|1818.24|1758.82|1817.83
2021-11-08|1816.69|1868.71|1812.48|1864.14
2021-11-15|1867.72|1877.09|1843.05|1845.58
2021-11-22|1844.62|1849.08|1778.52|1791.40
2021-11-29|1784.53|1808.74|1761.84|1783.80
2021-12-06|1783.71|1793.10|1770.13|1782.76
2021-12-13|1782.06|1814.25|1752.95|1797.96
2021-12-20|1797.95|1810.74|1784.89|1808.43
2021-12-27|1806.98|1830.48|1789.41|1828.62
2022-01-03|1829.00|1831.65|1782.64|1796.22
2022-01-10|1794.93|1829.13|1790.37|1817.45
2022-01-17|1817.14|1847.95|1805.77|1834.37
2022-01-24|1832.66|1853.84|1780.24|1791.56
2022-01-31|1790.58|1814.91|1785.53|1807.78
2022-02-07|1806.64|1865.37|1806.20|1858.78
2022-02-14|1861.34|1902.48|1844.54|1897.21
2022-02-21|1898.83|1974.38|1878.10|1888.12
2022-02-28|1921.35|1970.23|1890.93|1969.83
2022-03-07|1979.59|2070.52|1958.69|1985.29
2022-03-14|1987.70|1989.58|1895.08|1920.81
2022-03-21|1920.61|1966.10|1910.81|1957.26
2022-03-28|1956.55|1960.28|1890.08|1924.46
2022-04-04|1923.86|1948.14|1915.09|1946.59
2022-04-11|1946.18|1981.55|1939.98|1973.30
2022-04-18|1972.48|1998.32|1926.55|1931.19
2022-04-25|1930.22|1934.81|1872.12|1896.34
2022-05-02|1896.63|1909.73|1850.38|1882.32
2022-05-09|1883.10|1886.15|1799.06|1811.11
2022-05-16|1808.76|1849.38|1786.80|1845.86
2022-05-23|1847.79|1869.75|1841.00|1853.00
2022-05-30|1852.81|1874.09|1828.50|1850.25
2022-06-06|1849.80|1875.86|1825.10|1870.66
2022-06-13|1878.10|1878.90|1805.11|1838.51
2022-06-20|1836.81|1847.80|1816.88|1826.75
2022-06-27|1834.79|1841.05|1784.50|1809.82
2022-07-04|1809.70|1814.32|1729.26|1741.56
2022-07-11|1741.11|1745.34|1697.54|1706.95
2022-07-18|1707.17|1739.21|1680.87|1727.03
2022-07-25|1726.56|1767.92|1711.44|1765.81
2022-08-01|1764.74|1794.90|1754.24|1775.08
2022-08-08|1772.68|1807.88|1770.47|1801.69
2022-08-15|1802.24|1802.24|1745.48|1746.84
2022-08-22|1746.83|1765.53|1727.75|1737.73
2022-08-29|1735.96|1745.48|1688.80|1712.10
2022-09-05|1711.76|1729.46|1691.29|1717.36
2022-09-12|1717.26|1735.12|1654.13|1675.23
2022-09-19|1674.50|1688.07|1639.71|1643.39
2022-09-26|1645.23|1675.33|1614.83|1660.85
2022-10-03|1660.66|1729.45|1659.63|1694.83
2022-10-10|1695.55|1699.91|1640.23|1643.77
2022-10-17|1644.12|1668.42|1617.18|1657.69
2022-10-24|1659.53|1674.96|1638.01|1644.29
2022-10-31|1643.22|1681.68|1616.64|1681.10
2022-11-07|1674.96|1772.60|1664.68|1769.99
2022-11-14|1764.42|1786.42|1747.55|1750.20
2022-11-21|1751.15|1761.13|1726.62|1754.32
2022-11-28|1754.39|1804.41|1739.43|1798.68
2022-12-05|1796.34|1809.89|1765.82|1796.88
2022-12-12|1796.47|1824.53|1773.73|1792.91
2022-12-19|1792.85|1823.80|1783.76|1798.15
2022-12-26|1800.55|1833.20|1797.02|1824.32
2023-01-02|1826.72|1869.80|1823.56|1866.45
2023-01-09|1867.51|1921.88|1866.31|1920.56
2023-01-16|1919.38|1937.47|1896.51|1926.79
2023-01-23|1925.89|1949.10|1911.33|1928.50
2023-01-30|1927.87|1959.67|1861.25|1865.71
2023-02-06|1861.75|1890.22|1852.73|1865.29
2023-02-13|1864.73|1870.57|1818.89|1841.88
2023-02-20|1840.68|1847.46|1808.89|1811.14
2023-02-27|1810.76|1856.27|1804.72|1854.65
2023-03-06|1855.24|1870.09|1809.38|1867.33
2023-03-13|1880.85|1987.72|1871.45|1985.84
2023-03-20|1982.74|2009.74|1934.24|1977.67
2023-03-27|1978.35|1987.55|1943.99|1969.29
2023-04-03|1970.43|2032.04|1949.70|2007.01
2023-04-10|1996.07|2048.65|1981.63|2004.54
2023-04-17|1998.50|2015.00|1969.19|1982.65
2023-04-24|1981.08|2009.22|1974.09|1989.67
2023-05-01|1990.74|2075.40|1977.04|2015.80
2023-05-08|2015.96|2048.12|2000.88|2010.71
2023-05-15|2007.52|2022.13|1951.91|1977.58
2023-05-22|1977.43|1985.19|1936.70|1946.48
2023-05-29|1941.70|1983.39|1932.03|1948.23
2023-06-05|1947.58|1972.97|1938.10|1960.44
2023-06-12|1959.79|1970.73|1924.63|1957.34
2023-06-19|1957.48|1958.64|1910.07|1921.43
2023-06-26|1924.71|1933.30|1892.95|1919.13
2023-07-03|1918.72|1935.02|1902.63|1925.10
2023-07-10|1924.53|1963.71|1912.62|1955.32
2023-07-17|1954.68|1987.40|1945.74|1961.87
2023-07-24|1962.41|1982.11|1942.53|1959.00
2023-07-31|1958.87|1972.34|1925.22|1942.70
2023-08-07|1942.21|1946.65|1910.76|1913.83
2023-08-14|1913.67|1916.18|1885.05|1889.60
2023-08-21|1889.80|1923.31|1884.78|1913.94
2023-08-28|1915.50|1952.89|1912.77|1939.85
2023-09-04|1940.39|1946.26|1915.26|1918.98
2023-09-11|1920.48|1930.68|1900.94|1923.52
2023-09-18|1923.57|1947.41|1913.91|1925.09
2023-09-25|1925.12|1927.16|1846.31|1849.09
2023-10-02|1847.04|1848.89|1810.40|1831.58
2023-10-09|1849.91|1930.75|1844.18|1929.94
2023-10-16|1923.46|1997.17|1908.14|1980.31
2023-10-23|1969.04|2009.38|1953.64|2005.70
2023-10-30|2004.68|2007.92|1969.85|1992.43
2023-11-06|1992.24|1993.07|1932.98|1935.40
2023-11-13|1938.76|1993.37|1931.68|1980.60
2023-11-20|1977.77|2007.54|1965.49|2002.06
2023-11-27|2000.78|2075.30|2000.39|2070.36
2023-12-04|2071.84|2143.31|1994.65|2003.10
2023-12-11|2003.19|2047.87|1973.03|2019.53
2023-12-18|2019.37|2070.60|2016.02|2052.81
2023-12-25|2052.96|2088.43|2052.44|2063.37
2024-01-01|2063.15|2078.87|2024.39|2044.78
