XAUUSD H1 | 1999 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
12-02 19:00|4185.56|4205.76|4184.82|4205.29
12-02 20:00|4205.27|4209.66|4201.01|4208.53
12-02 21:00|4208.81|4215.16|4202.09|4212.53
12-02 22:00|4212.48|4230.55|4212.28|4219.18
12-02 23:00|4219.00|4219.62|4163.42|4169.54
12-03 00:00|4169.90|4190.14|4166.86|4184.86
12-03 01:00|4184.85|4196.86|4184.74|4193.74
12-03 02:00|4193.52|4196.72|4183.34|4190.76
12-03 03:00|4191.08|4200.59|4190.95|4196.69
12-03 04:00|4196.71|4212.38|4194.92|4210.16
12-03 05:00|4210.04|4211.81|4205.01|4205.42
12-03 07:00|4205.93|4216.07|4202.30|4212.79
12-03 08:00|4212.81|4212.95|4204.33|4211.85
12-03 09:00|4212.94|4221.10|4211.57|4214.41
12-03 10:00|4214.41|4228.86|4214.18|4226.48
12-03 11:00|4226.68|4227.64|4220.12|4220.99
12-03 12:00|4221.00|4225.28|4217.09|4222.40
12-03 13:00|4222.38|4223.87|4203.67|4207.89
12-03 14:00|4207.72|4211.83|4204.75|4208.02
12-03 15:00|4208.20|4210.42|4200.29|4206.44
12-03 16:00|4206.44|4210.22|4203.71|4206.51
12-03 17:00|4206.52|4207.63|4197.00|4202.06
12-03 18:00|4202.07|4204.92|4194.63|4200.54
12-03 19:00|4200.58|4209.25|4197.11|4208.69
12-03 20:00|4208.82|4214.40|4205.14|4213.52
12-03 21:00|4213.61|4238.34|4211.30|4237.17
12-03 22:00|4237.75|4241.49|4204.93|4212.39
12-03 23:00|4212.26|4229.43|4206.02|4216.44
12-04 00:00|4216.39|4225.28|4195.93|4200.74
12-04 01:00|4200.71|4215.41|4200.17|4211.06
12-04 02:00|4211.41|4211.63|4195.10|4197.01
12-04 03:00|4197.00|4209.95|4196.72|4207.81
12-04 04:00|4207.75|4212.80|4203.62|4206.34
12-04 05:00|4206.33|4210.08|4202.62|4203.08
12-04 07:00|4204.52|4209.05|4202.60|4207.44
12-04 08:00|4207.36|4215.76|4204.56|4211.78
12-04 09:00|4211.73|4216.81|4205.64|4209.29
12-04 10:00|4209.30|4209.34|4198.80|4200.35
12-04 11:00|4200.59|4201.66|4187.30|4195.69
12-04 12:00|4195.65|4199.15|4192.70|4197.02
12-04 13:00|4196.81|4199.12|4175.07|4181.20
12-04 14:00|4181.19|4190.31|4178.59|4190.28
12-04 15:00|4190.38|4194.99|4186.59|4193.69
12-04 16:00|4193.58|4196.42|4184.91|4184.97
12-04 17:00|4184.96|4202.33|4183.59|4199.79
12-04 18:00|4199.79|4202.72|4196.71|4197.28
