XAUUSD M30 | 1999 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
02-04 13:30|5080.10|5090.30|5069.05|5079.31
02-04 14:00|5079.36|5082.78|5051.05|5054.45
02-04 14:30|5054.47|5079.60|5053.76|5076.59
02-04 15:00|5076.60|5089.36|5061.96|5089.19
02-04 15:30|5089.12|5091.45|5067.06|5084.77
02-04 16:00|5084.76|5091.93|5074.82|5084.29
02-04 16:30|5084.04|5085.22|5068.66|5083.56
02-04 17:00|5083.06|5086.74|5053.65|5056.91
02-04 17:30|5056.79|5065.69|5042.92|5059.95
02-04 18:00|5059.84|5064.43|5041.76|5043.26
02-04 18:30|5043.61|5061.51|5043.61|5048.75
02-04 19:00|5048.76|5053.45|5013.52|5023.57
02-04 19:30|5023.79|5050.37|5021.91|5047.62
02-04 20:00|5047.61|5055.27|5037.21|5047.51
02-04 20:30|5047.52|5063.22|5036.95|5040.74
02-04 21:00|5040.70|5054.34|5023.17|5048.69
02-04 21:30|5049.41|5063.29|5033.24|5053.97
02-04 22:00|5053.96|5058.67|5028.54|5030.76
02-04 22:30|5030.62|5037.58|4967.39|4986.74
02-04 23:00|4986.31|5007.85|4950.63|4958.08
02-04 23:30|4958.03|4962.33|4887.53|4920.52
02-05 00:00|4920.23|4940.08|4890.39|4924.05
02-05 00:30|4924.10|4934.53|4853.42|4906.16
02-05 01:00|4904.01|4925.63|4888.25|4917.28
02-05 01:30|4917.44|4930.34|4895.81|4897.95
02-05 02:00|4897.84|4935.15|4872.77|4926.78
02-05 02:30|4926.37|4932.03|4903.64|4927.43
02-05 03:00|4927.53|4950.42|4914.66|4933.55
02-05 03:30|4933.54|4957.78|4928.48|4941.93
02-05 04:00|4941.45|4945.77|4919.07|4922.59
02-05 04:30|4923.15|4951.21|4914.69|4938.43
02-05 05:00|4938.34|4959.52|4937.64|4959.00
02-05 05:30|4958.99|4970.80|4952.50|4964.50
02-05 07:00|4980.35|5021.18|4968.08|5019.47
02-05 07:30|5019.03|5023.76|5007.90|5012.07
02-05 08:00|5011.75|5019.37|4996.97|5016.00
02-05 08:30|5016.08|5020.52|5003.96|5006.80
02-05 09:00|5008.21|5012.10|4935.95|4952.25
02-05 09:30|4952.44|4986.32|4952.25|4958.68
02-05 10:00|4958.71|4961.82|4894.62|4937.00
02-05 10:30|4937.03|4940.49|4804.72|4811.61
02-05 11:00|4811.97|4887.78|4789.21|4858.72
02-05 11:30|4858.68|4885.59|4839.26|4880.43
02-05 12:00|4880.50|4891.22|4863.31|4886.59
02-05 12:30|4886.56|4888.08|4863.49|4863.82
02-05 13:00|4863.58|4876.02|4840.13|4868.62
02-05 13:30|4868.41|4906.68|4826.69|4896.24
02-05 14:00|4896.33|4930.05|4878.28|4929.75
02-05 14:30|4929.50|4934.16|4898.79|4920.55
02-05 15:00|4920.47|4940.61|4910.93|4932.86
02-05 15:30|4932.84|4933.89|4895.79|4914.91
02-05 16:00|4915.02|4943.56|4912.56|4920.99
02-05 16:30|4920.87|4929.65|4901.77|4912.34
02-05 17:00|4912.39|4914.15|4853.55|4873.73
02-05 17:30|4873.72|4894.16|4849.39|4854.71
02-05 18:00|4854.72|4878.02|4848.07|4861.38
02-05 18:30|4862.69|4886.59|4851.70|4877.01
02-05 19:00|4877.12|4894.42|4876.63|4891.96
02-05 19:30|4891.98|4892.87|4864.24|4867.99
02-05 20:00|4867.20|4877.81|4810.65|4848.02
02-05 20:30|4847.25|4869.65|4840.06|4854.03
02-05 21:00|4853.97|4865.69|4802.30|4852.12
02-05 21:30|4849.70|4867.92|4820.70|4835.49
02-05 22:00|4835.28|4849.92|4810.01|4835.51
02-05 22:30|4835.35|4869.94|4805.94|4846.40
02-05 23:00|4845.65|4864.92|4813.17|4819.63
02-05 23:30|4819.66|4838.16|4800.28|4817.71
02-06 00:00|4817.30|4857.14|4812.51|4849.58
02-06 00:30|4851.09|4906.69|4844.89|4888.98
02-06 01:00|4888.81|4890.22|4859.04|4867.08
02-06 01:30|4866.82|4884.62|4859.20|4868.97
02-06 02:00|4869.13|4875.23|4851.11|4868.85
02-06 02:30|4868.95|4873.14|4851.34|4858.20
02-06 03:00|4858.18|4865.17|4843.31|4851.21
02-06 03:30|4851.30|4853.64|4823.44|4829.28
02-06 04:00|4830.06|4843.10|4810.45|4825.22
02-06 04:30|4825.98|4831.92|4792.85|4811.06
02-06 05:00|4810.51|4826.04|4795.30|4802.24
02-06 05:30|4802.37|4804.64|4759.82|4779.25
02-06 07:00|4761.51|4781.96|4748.89|4752.13
02-06 07:30|4751.89|4756.99|4703.47|4703.72
02-06 08:00|4703.50|4730.09|4654.86|4724.09
02-06 08:30|4723.75|4764.51|4707.87|4762.91
02-06 09:00|4762.88|4763.25|4693.53|4712.06
02-06 09:30|4712.20|4784.69|4705.66|4773.91
02-06 10:00|4773.94|4821.26|4761.00|4820.36
02-06 10:30|4820.78|4846.16|4809.23|4816.40
02-06 11:00|4816.51|4839.33|4801.69|4811.40
02-06 11:30|4811.62|4826.48|4801.10|4824.35
02-06 12:00|4824.32|4827.66|4806.96|4826.25
02-06 12:30|4826.29|4831.73|4810.76|4813.72
02-06 13:00|4814.57|4852.14|4807.63|4851.83
02-06 13:30|4851.81|4898.03|4837.25|4897.70
02-06 14:00|4897.69|4902.98|4848.90|4853.96
02-06 14:30|4853.95|4866.68|4825.55|4846.43
02-06 15:00|4846.24|4861.77|4838.42|4858.13
02-06 15:30|4858.40|4859.78|4840.00|4841.01
02-06 16:00|4840.93|4874.29|4829.37|4867.63
02-06 16:30|4867.62|4882.33|4852.63|4861.87
02-06 17:00|4860.76|4871.28|4839.04|4863.69
02-06 17:30|4863.35|4872.64|4856.24|4866.73
02-06 18:00|4866.71|4877.89|4851.63|4855.42
02-06 18:30|4855.28|4879.89|4853.22|4878.46
02-06 19:00|4878.14|4894.01|4863.77|4891.04
02-06 19:30|4891.05|4895.68|4880.18|4886.95
02-06 20:00|4886.53|4903.42|4871.83|4877.48
02-06 20:30|4877.67|4903.11|4877.08|4900.33
02-06 21:00|4901.32|4928.57|4896.98|4909.19
02-06 21:30|4909.07|4938.47|4908.97|4928.97
02-06 22:00|4929.18|4932.59|4894.41|4905.26
02-06 22:30|4904.38|4949.57|4897.14|4948.32
02-06 23:00|4947.65|4964.62|4936.02|4955.78
02-06 23:30|4955.64|4960.66|4928.28|4943.66
02-07 00:00|4943.75|4950.46|4921.54|4938.52
02-07 00:30|4938.54|4953.36|4929.79|4951.40
02-07 01:00|4951.65|4960.98|4948.92|4954.57
02-07 01:30|4954.86|4968.63|4948.17|4960.68
02-07 02:00|4960.67|4971.43|4943.72|4956.15
02-07 02:30|4955.89|4968.43|4951.42|4962.35
02-07 03:00|4962.62|4963.30|4953.61|4957.38
02-07 03:30|4957.43|4962.75|4948.52|4957.27
02-07 04:00|4957.29|4958.84|4946.35|4954.89
02-07 04:30|4954.96|4955.14|4936.52|4953.45
02-07 05:00|4953.35|4958.39|4946.38|4954.00
02-07 05:30|4954.02|4964.37|4953.73|4963.97
02-09 07:00|4990.56|5026.68|4964.97|5024.45
02-09 07:30|5024.19|5046.89|5019.71|5036.24
02-09 08:00|5036.23|5044.80|5023.12|5035.23
02-09 08:30|5036.02|5037.12|5012.03|5019.92
02-09 09:00|5019.90|5041.99|5005.77|5016.70
02-09 09:30|5016.66|5022.51|4976.02|4982.41
02-09 10:00|4982.40|5001.76|4969.13|5001.39
02-09 10:30|5000.13|5017.48|4986.15|5007.15
02-09 11:00|5006.68|5026.41|5005.47|5024.85
02-09 11:30|5024.85|5031.26|5012.25|5016.13
02-09 12:00|5016.23|5024.87|5008.51|5017.43
02-09 12:30|5017.42|5023.33|5007.51|5012.10
02-09 13:00|5011.86|5031.20|5011.14|5030.18
02-09 13:30|5029.96|5041.33|5023.61|5037.10
02-09 14:00|5036.61|5045.39|5013.85|5025.07
02-09 14:30|5025.10|5039.71|5020.91|5031.36
02-09 15:00|5031.35|5031.35|4997.66|5008.61
02-09 15:30|5008.61|5014.92|5000.86|5006.31
02-09 16:00|5006.24|5031.72|5002.71|5025.82
02-09 16:30|5025.59|5035.45|5021.97|5027.33
02-09 17:00|5027.39|5040.81|5016.40|5024.25
02-09 17:30|5024.35|5027.43|5002.61|5007.73
02-09 18:00|5007.74|5015.36|4985.77|4991.08
02-09 18:30|4991.08|4999.31|4982.10|4990.98
02-09 19:00|4990.96|5006.44|4988.53|5006.21
02-09 19:30|5006.20|5017.36|5001.52|5010.61
02-09 20:00|5010.58|5017.79|5007.25|5013.78
02-09 20:30|5013.87|5021.20|5007.20|5013.14
02-09 21:00|5013.62|5024.50|5003.54|5004.34
02-09 21:30|5004.33|5014.55|4994.90|5007.12
02-09 22:00|5007.11|5024.12|5002.31|5020.85
02-09 22:30|5020.76|5040.55|5013.98|5038.07
02-09 23:00|5037.56|5042.18|5023.73|5033.21
02-09 23:30|5033.24|5060.38|5033.24|5058.71
02-10 00:00|5058.72|5079.77|5056.90|5072.36
02-10 00:30|5072.43|5080.46|5066.83|5073.46
