XAUUSD MN1 | 213 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
1998-04-01|310.30|315.20|305.50|306.90
1998-05-01|306.25|307.20|290.40|293.20
1998-06-01|292.75|300.50|283.70|297.20
1998-07-01|297.65|298.70|285.70|286.70
1998-08-01|286.20|290.35|270.75|275.80
1998-09-01|277.10|300.30|276.85|297.20
1998-10-01|296.20|305.20|290.60|292.80
1998-11-01|292.60|298.65|287.60|293.60
1998-12-01|292.29|297.60|285.00|288.50
1999-01-01|288.30|293.75|281.40|286.40
1999-02-01|286.40|290.95|284.20|287.30
1999-03-01|286.50|294.65|278.10|280.30
1999-04-01|279.90|288.10|277.00|286.80
1999-05-01|286.20|290.20|267.40|270.80
1999-06-01|269.85|270.35|256.90|261.25
1999-07-01|262.25|263.90|252.05|256.20
1999-08-01|255.65|262.50|251.70|256.00
1999-09-01|255.70|327.80|253.10|304.50
1999-10-01|297.25|342.00|285.75|300.20
1999-11-01|294.50|300.40|286.00|291.20
1999-12-01|290.70|292.20|274.00|289.00
2000-01-01|287.50|291.50|278.70|283.90
2000-02-01|283.30|327.00|281.50|292.70
2000-03-01|291.70|294.88|274.00|279.40
2000-04-01|278.50|289.25|272.60|273.60
2000-05-01|275.00|283.30|268.70|272.60
2000-06-01|271.70|294.62|271.00|289.30
2000-07-01|288.60|290.60|276.05|277.50
2000-08-01|276.95|279.60|270.00|278.20
2000-09-01|277.50|279.95|268.25|274.50
2000-10-01|274.10|278.10|261.85|264.75
2000-11-01|264.45|271.65|262.85|270.70
2000-12-01|270.20|276.65|267.80|272.50
2001-01-01|272.45|274.00|261.70|266.55
2001-02-01|265.60|270.12|253.50|267.40
2001-03-01|266.90|275.60|256.75|258.20
2001-04-01|257.80|267.45|254.20|263.80
2001-05-01|263.30|299.00|263.25|266.10
2001-06-01|265.60|279.55|264.25|271.10
2001-07-01|270.60|272.50|264.00|267.10
2001-08-01|266.60|281.70|265.75|274.70
2001-09-01|274.45|296.10|270.45|293.45
2001-10-01|292.00|294.62|273.95|279.75
2001-11-01|279.25|282.50|271.70|274.65
2001-12-01|274.15|281.75|270.95|279.20
2002-01-01|278.20|290.00|276.55|282.95
2002-02-01|282.70|309.30|281.45|296.80
2002-03-01|296.30|305.27|287.40|302.75
2002-04-01|301.75|313.00|296.75|308.70
2002-05-01|308.20|330.25|305.95|326.80
2002-06-01|326.30|332.15|309.90|314.70
2002-07-01|313.70|326.40|300.50|303.80
2002-08-01|303.30|318.50|298.45|313.00
2002-09-01|312.50|328.30|310.90|324.17
2002-10-01|323.75|324.72|308.50|317.77
2002-11-01|317.75|325.40|315.62|318.15
2002-12-01|318.47|354.72|315.70|348.05
2003-01-01|347.30|374.22|342.11|368.15
2003-02-01|368.15|389.25|341.00|349.95
2003-03-01|349.50|358.60|325.49|336.55
2003-04-01|337.11|340.35|318.88|338.55
2003-05-01|339.45|375.02|337.70|364.85
2003-06-01|363.25|370.30|342.60|345.45
2003-07-01|345.55|368.80|340.30|355.30
2003-08-01|355.80|378.60|344.80|375.30
2003-09-01|375.00|394.50|369.10|385.10
2003-10-01|385.50|392.80|366.00|384.00
2003-11-01|384.60|401.60|375.30|397.80
2003-12-01|397.50|418.60|396.30|415.60
2004-01-01|414.61|431.10|395.80|401.60
2004-02-01|402.60|418.20|390.30|396.00
2004-03-01|395.00|427.80|387.60|426.70
2004-04-01|426.70|431.60|377.20|386.70
2004-05-01|386.80|397.30|370.50|395.10
2004-06-01|395.30|405.60|381.10|393.30
2004-07-01|393.60|409.60|385.10|390.60
2004-08-01|390.80|414.80|388.60|409.60
2004-09-01|409.30|419.60|394.30|417.80
2004-10-01|417.80|431.20|409.10|428.10
2004-11-01|429.10|455.80|416.80|450.80
2004-12-01|450.60|457.30|431.50|437.79
2005-01-01|438.30|438.80|416.50|422.10
2005-02-01|422.70|438.70|409.80|435.50
2005-03-01|434.80|447.60|423.10|427.80
2005-04-01|427.60|438.20|421.70|434.50
2005-05-01|434.60|435.10|413.30|416.80
2005-06-01|416.50|444.20|414.20|435.00
2005-07-01|434.30|437.20|417.80|429.30
2005-08-01|429.80|449.10|428.60|434.70
2005-09-01|434.60|475.00|434.30|468.80
2005-10-01|467.30|480.00|459.50|465.20
2005-11-01|465.30|502.20|454.80|492.60
2005-12-01|492.20|540.50|489.30|516.00
2006-01-01|516.70|572.20|516.20|568.70
2006-02-01|568.60|574.70|534.60|561.20
2006-03-01|562.00|589.10|533.70|583.50
2006-04-01|582.35|655.50|581.20|653.70
2006-05-01|654.10|729.70|635.60|642.60
2006-06-01|642.80|645.20|543.20|615.20
2006-07-01|617.00|676.00|602.10|635.50
2006-08-01|635.70|655.50|607.00|625.00
2006-09-01|625.20|640.20|570.30|597.70
2006-10-01|598.00|610.60|559.20|605.70
2006-11-01|606.00|648.30|605.10|647.20
2006-12-01|647.50|649.60|611.10|635.60
2007-01-01|638.20|654.50|601.50|652.70
2007-02-01|652.60|688.10|642.70|669.10
2007-03-01|669.20|677.00|632.20|663.20
2007-04-01|663.10|693.30|655.90|677.70
2007-05-01|677.80|690.40|651.50|660.60
2007-06-01|660.50|673.60|638.30|649.10
2007-07-01|650.20|687.50|645.00|663.50
2007-08-01|663.40|676.40|641.60|672.80
2007-09-01|672.70|745.40|671.00|742.90
2007-10-01|742.80|797.00|720.30|796.30
2007-11-01|796.40|845.40|772.50|782.70
2007-12-01|783.80|841.80|776.80|831.50
2008-01-01|841.00|936.70|839.50|925.00
2008-02-01|924.30|975.80|883.90|973.50
2008-03-01|974.30|1032.20|904.40|915.80
2008-04-01|915.70|952.40|862.20|876.70
2008-05-01|876.90|934.90|844.90|886.30
2008-06-01|887.90|934.90|857.10|924.60
2008-07-01|926.10|988.00|893.60|913.30
2008-08-01|913.80|916.70|772.60|830.70
2008-09-01|834.60|923.90|735.90|870.90
2008-10-01|871.60|931.10|681.40|723.70
2008-11-01|726.70|830.50|699.70|817.50
2008-12-01|818.50|887.80|741.10|865.90
2009-01-01|874.20|929.20|801.90|926.50
2009-02-01|927.60|1005.90|888.90|941.60
2009-03-01|939.00|966.80|883.00|917.40
2009-04-01|917.80|932.60|864.54|885.50
2009-05-01|887.45|980.02|880.03|978.57
2009-06-01|978.69|989.63|912.88|926.35
2009-07-01|925.86|958.68|904.78|953.50
2009-08-01|952.27|971.46|930.08|950.65
2009-09-01|950.61|1023.87|946.23|1007.30
2009-10-01|1007.22|1070.58|986.55|1044.96
2009-11-01|1042.26|1194.95|1041.54|1179.30
2009-12-01|1179.40|1226.37|1074.48|1098.30
2010-01-01|1097.45|1161.65|1074.01|1080.67
2020-01-01|1518.16|1611.39|1517.23|1588.96
2020-02-01|1593.24|1689.34|1547.52|1584.77
2020-03-01|1591.60|1703.30|1451.19|1575.88
2020-04-01|1575.33|1747.10|1568.07|1686.74
2020-05-01|1684.75|1765.18|1670.30|1730.36
2020-06-01|1735.02|1785.96|1670.69|1780.30
2020-07-01|1780.92|1983.26|1757.41|1974.84
2020-08-01|1978.45|2075.07|1862.58|1967.50
2020-09-01|1967.05|1992.40|1848.72|1885.40
2020-10-01|1885.44|1933.17|1859.94|1878.32
2020-11-01|1877.00|1965.48|1764.40|1776.70
2020-12-01|1776.57|1906.72|1775.74|1898.26
2021-01-01|1903.24|1959.30|1801.31|1847.40
2021-02-01|1863.14|1871.76|1717.26|1733.89
2021-03-01|1733.46|1759.94|1676.83|1707.35
2021-04-01|1707.30|1797.85|1705.77|1768.89
2021-05-01|1768.42|1912.73|1766.04|1906.68
2021-06-01|1906.40|1916.57|1750.66|1770.39
2021-07-01|1769.89|1834.17|1765.62|1814.28
2021-08-01|1813.42|1831.72|1678.93|1813.59
2021-09-01|1813.05|1833.99|1721.61|1756.97
2021-10-01|1756.35|1813.82|1745.93|1782.83
2021-11-01|1782.23|1877.09|1758.82|1774.78
2022-01-01|1829.00|1853.84|1780.24|1797.29
2022-02-01|1797.83|1974.38|1788.64|1908.66
2022-03-01|1906.86|2070.52|1890.08|1937.04
2022-04-01|1936.83|1998.32|1872.12|1896.34
2022-05-01|1896.63|1909.73|1786.80|1837.36
2022-06-01|1836.59|1878.90|1802.70|1807.17
2022-07-01|1807.12|1814.32|1680.87|1765.81
2022-08-01|1764.74|1807.88|1709.69|1710.95
2022-10-01|1660.66|1729.45|1617.18|1633.54
2022-11-01|1632.96|1786.42|1616.64|1768.40
2022-12-01|1768.27|1833.20|1765.82|1824.32
2023-01-01|1826.72|1949.10|1823.56|1928.06
2023-02-01|1928.42|1959.67|1804.72|1826.63
2023-04-01|1970.43|2048.65|1949.70|1989.67
2023-05-01|1990.74|2075.40|1932.03|1962.51
2023-06-01|1962.72|1983.39|1892.95|1919.13
2023-07-01|1918.72|1987.40|1902.63|1965.37
2023-08-01|1965.64|1965.96|1884.78|1940.01
2023-09-01|1940.07|1952.89|1846.31|1849.09
2023-10-01|1847.04|2009.38|1810.40|1983.95
2023-11-01|1983.60|2051.93|1931.68|2035.40
2023-12-01|2036.70|2143.31|1973.03|2063.37
